"BF_ID";"SCHICHT_NR";"HOR_NR";"OTIEF";"UTIEF";"SW_HORIZ";"HORIZ";"BOART";"GROBBOD_F";"GROBBOD_K";"HUMUS";"KALK";"KOHLE";"SUBSTRART";"PH";"LD";"GEFUEGE";"SV";"STRAT";"STRAT_JUENGST_PRAEG";"STRAT_URSP";"GEOGEN";"HERK";"LAGE"
40;1;1;0,00;0,50;;"Ai";"fSms";"G";1;"h1";"c0";;"mm-ss(Sst)";"s2";"Ld1";"ein";;"qh";"qh";;"mm";"Sst";
40;1;2;0,50;3,00;;"ilCv";"fSms";"G";1;"h1";"c0";;"mm-ss(Sst)";"s2";"Ld1";"ein";;"qh";"qh";;"mm";"Sst";
40;1;3;3,00;6,00;;"eGw";"fSms";"G";1;"h0";"c3";;"mm-css(Sst)";"s0";"Ld2";"ein";;"qh";"qh";;"mm";"Sst";
40;1;4;6,00;20,00;;"eGr";"fSms";"G";1;"h0";"c3";;"mm-css(Sst)";"s0";"Ld2";"ein";;"qh";"qh";;"mm";"Sst";
41;1;1;0,00;1,00;;"Ai";"mSfs";;1;"h1";"c0";;"a-ss(Sad)";"s5";"Ld1";"ein";;"qh";"qh";;"a";"Sad";
41;1;2;1,00;4,00;;"lCv1";"mSfs";;1;"h0";"c0";;"a-ss(Sad)";"s4";"Ld1";"ein";;"qh";"qh";;"a";"Sad";
41;2;3;4,00;20,00;"II";"lCv2";"mS";"G";1;"h0";"c1";;"mm-ss(Sstw)";"s3";"Ld2";"ein";;"qh";"qh";;"mm";"Sstw";
42;1;1;0,00;2,00;;"Ai";"mSfs";;1;"h1";"c0";;"a-ss(Sa)";"s2";"Ld1";"ein";;"qh";"qh";;"a";"Sa";
42;1;2;2,00;3,00;;"Gro-ilCv";"mSfs";;1;"h1";"c0";;"a-ss(Sa)";"s2";"Ld1";"ein";;"qh";"qh";;"a";"Sa";
42;1;3;3,00;6,00;;"Gro";"mSfs";;1;"h0";"c1";;"a-ss(Sa)";"s2";"Ld2";"ein";;"qh";"qh";;"a";"Sa";
