"GEN_ID";"BF_ID";"BOF_NR";"STATUS";"BODTYP";"BO_SUBTYP";"BO_SUBTYP_TXT";"BODSYSTEINH";"BODSYSTEINH_TXT";"SUBSTRSUBTYP";"KULTUR";"HUFORM";"GWS";"VNGRAD";"MHGW";"MGW";"MNGW";"FLANT_SPANNE";"FLANT_MITTELW"
13;40;1;"Leitprofil";"GG";"OL-GG";"Lockersyrosem-Gley";"OL-GG";"Lockersyrosem-Gley";"m-(k)s(Sst)\m-(k)es(Sst)";"O";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"50 bis < 70";60
13;41;2;"Begleitprofil";"OL";"OLn";"Normlockersyrosem";"OLn";"Normlockersyrosem";"a-s(Sa)/m-(k)es(Sst)";"O";;"GWS5";;"8 bis < 16";"13 bis < 20";">= 16";"10 bis < 30";20
13;42;3;"Begleitprofil";"GG";"OL-GG";"Lockersyrosem-Gley";"OL-GG";"Lockersyrosem-Gley";"a-s(Sa)/m-(k)es(Sst)";"O";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"10 bis < 30";20
13;43;4;"Begleitprofil";"OL";"OLn";"Normlockersyrosem";"OLn";"Normlockersyrosem";"m-(k)s(Sst)\m-(k)es(Sst)";"O";;"GWS5";;"8 bis < 16";"13 bis < 20";">= 16";"< 10";5
14;44;1;"Leitprofil";"MR";"MRn";"Normrohmarsch";"MRn";"Normrohmarsch";"mm-eu(Um)";"G";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"50 bis < 70";60
14;45;2;"Begleitprofil";"MR";"MRn";"Normrohmarsch";"MRn";"Normrohmarsch";"mm-et(Tm)";"O";;"GWS2";;"< 2";"2 bis < 4";"4 bis < 8";"30 bis < 50";40
15;46;1;"Leitprofil";"IW";"IWn";"Normwatt";"IWn";"Normwatt";"mm-es(Sm)";"O";;;;;;;"50 bis < 70";60
15;47;2;"Begleitprofil";"IW";"IWn";"Normwatt";"IWn";"Normwatt";"mm-eu(Um)";"O";;;;;;;"30 bis < 50";40
16;48;1;"Leitprofil";"IW";"IWn";"Normwatt";"IWn";"Normwatt";"mm-es(Sm)";"O";;;;;;;"30 bis < 50";40
16;49;2;"Begleitprofil";"IW";"IWn";"Normwatt";"IWn";"Normwatt";"mm-eu(Um)";"O";;;;;;;"30 bis < 50";40
16;50;3;"Begleitprofil";"IW";"IWn";"Normwatt";"IWn";"Normwatt";"mm-et(Tm)";"O";;;;;;;"10 bis < 30";20
17;51;1;"Leitprofil";"IW";"IWn";"Normwatt";"IWn";"Normwatt";"mm-eu(Um)";"O";;;;;;;"50 bis < 70";60
17;52;2;"Begleitprofil";"IW";"IWn";"Normwatt";"IWn";"Normwatt";"mm-et(Tm)";"O";;;;;;;"30 bis < 50";40
18;53;1;"Leitprofil";"GG";"RQ-GG";"Regosol-Gley";"RQ-GG";"Regosol-Gley";"m-(k)s(Sstw)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"30 bis < 50";40
18;54;2;"Begleitprofil";"GG";"RQ-GG";"Regosol-Gley";"RQ-GG";"Regosol-Gley";"a-s(Sa)/m-(k)s(Sstw)";"A";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"< 10";5
18;55;3;"Begleitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"m-(k)s(Sstw)";"G";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"< 10";5
18;56;4;"Begleitprofil";"GG";"GGn";"Normgley";"GGn";"Normgley";"a-s(Sa)/m-(k)s(Sstw)";"A";;"GWS3";;"< 4";"4 bis < 8";"8 bis < 13";"< 10";5
